#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N1234X",unit_software_part_number="006-B1727-40",software_version="9.51",system_id="6000ABCD01234",unit="PFD1",airframe_hours="0.3",engine_hours="1.3"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),AFCS Attitude Status,Network Status,Transponder Code,Transponder Mode,Engine Power (%),Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Coolant Temp (deg F),Man Temp (deg F),Flap Position,Fuel Qty L (gal),Fuel Qty R (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Volts,Efis Bkup Volts,Nav Bkup Volts,Amps,Batt Amps,Feed Psi,Co Ppm,EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EFIS ON BKUP (discrete),NAV ON BKUP (discrete),ARM BKUP (discrete),PITOT HEAT (discrete),FPCM FAULT (discrete),CHECK FUEL (discrete),EARTH X FAIL (discrete),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,,E1 %Pwr,E1 MAP,E1 RPM,E1 OilP,E1 OilT,,E1 CarbT,Flaps,FQty1,FQty2,E1 FFlow,E1 FPres,PTrim,Volts1,,,Amps1,Amps2,,,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,,,,,,,
2026-09-02,14:53:00,21:53:00,-07:00,+39.0810177,-114.1002869,271,3D,337998.1,0.0,,0,0,0.00,,52,20,9,173,310,-3,14.9,16,,,0.000,0.997,-0.041,,211,,,,30.07,121.500,,GPS1,,,,,,,,,,,,,,Powerup,,,,,,,,,,,,,-12.8,27.5,1655,,,,081131F8 A28 A0 * 01000000,280037FE N100 X0,,,6,6,,,,,,,,,,,,0,12,9,,0.1,0,13.2,13.2,12.9,1,0,15.3,254,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP,
2026-09-02,14:53:01,21:53:01,-07:00,+39.0810179,-114.1002883,271,3D,337998.8,0.0,,0,0,0.00,,44,20,9,173,310,3,15.1,15,,,-0.010,1.000,-0.045,,211,,,,30.07,122.700,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-12.8,27.5,1654,,,,080031F8 A30 A0 * 01000000,280037FE N100 X0,,,6,6,,,,,,,,,,,,0,12,9,,0.1,0,13.2,13.2,12.9,1,0,15.3,254,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / NO AOA CAL,
2026-09-02,14:53:02,21:53:02,-07:00,+39.0810184,-114.1002896,271,3D,337999.8,0.0,,0,0,0.00,,39,20,9,173,310,2,15.4,16,,,-0.007,0.998,-0.056,,211,,,,30.07,122.700,,GPS1,,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-12.8,27.5,1653,,,,080031F8 A33 A0 * 01000000,280037FE N100 X0,,,4,4,,,,,,,,,,,,0,12,9,,0.1,0,13.2,13.2,12.9,1,0,15.3,255,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / NO AOA CAL,
2026-09-02,14:53:03,21:53:03,-07:00,+39.0810196,-114.1002909,271,3D,338000.8,0.0,,0,0,0.01,,34,20,9,173,310,7,15.7,16,,,-0.006,0.998,-0.062,,211,,,,30.07,122.700,,GPS1,,,,135,150,-0.027,,,ENR,,,,,Powerup,,,,,,,,,,,,,-12.8,27.5,1652,,,,080031F8 A36 A0 * 01000000,480137FE N100 X0,,,5,5,,L+,1200,ALT,,,,,,,,0,12,9,,0.1,0,13.2,13.2,12.9,1,0,15.3,255,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:53:04,21:53:04,-07:00,+39.0810200,-114.1002917,271,3D,338001.8,0.0,,0,0,-0.00,,31,20,9,173,311,7,15.4,16,,,-0.008,0.996,-0.067,,211,,,,30.07,122.700,,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Powerup,,,,,,,,,,,,,0.0,27.5,1651,,,,080031F8 A39 A0 * 01000000,480137FE N100 X0,,,3,3,,,1200,ALT,,,,,,,,0,12,9,,0.1,0,13.2,13.2,12.9,1,0,15.3,255,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:53:05,21:53:05,-07:00,+39.0810204,-114.1002925,271,3D,338002.8,0.0,,0,0,0.00,,28,20,9,173,311,4,15.4,16,,,-0.008,0.997,-0.073,,211,,,,30.07,122.700,,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Powerup,,,,,,,,,,,,,0.0,27.4,1650,,,,080031F8 A42 A0 * 01000000,480137FE N100 X0,,,4,2,,,1200,ALT,,,,,,,,0,12,9,,0.1,0,13.2,13.2,12.9,1,0,15.3,255,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:53:06,21:53:06,-07:00,+39.0810194,-114.1002930,271,3D,338003.8,0.0,,0,0,-0.00,,27,20,9,173,310,1,15.4,16,,,-0.008,0.997,-0.078,,211,,,,30.07,122.700,,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail / Servo communication fault / 00008001 00000000,,,,,,,,,,,,,0.0,27.4,1648,,,,080031F8 A45 A0 * 01000000,480137FE N100 X0,,,3,2,,,1200,ALT,,,,,,,,0,12,9,,0.1,0,13.2,13.2,12.9,1,0,15.3,255,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:53:07,21:53:07,-07:00,+39.0810187,-114.1002930,271,3D,338004.8,0.0,,0,0,0.00,,25,20,9,173,310,-1,15.5,16,,,-0.010,0.998,-0.082,,211,,,,30.07,122.700,,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,,,,,,,,,,,,,0.0,27.4,1646,,,,080031F8 A48 A0 * 01000000,480137FE N100 X0,,,4,2,,,1200,ALT,,,,,,,,0,12,9,,0.1,0,13.2,13.1,12.9,1,-1,15.3,255,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:53:08,21:53:08,-07:00,+39.0810176,-114.1002929,271,3D,338005.8,0.0,,0,0,0.01,,24,20,9,173,310,-1,15.7,16,,,-0.009,0.999,-0.082,,211,,,,30.07,122.700,,GPS1,WPT MSG,GARMN,10.0,135,150,-0.027,-0.47,350,LPV,-0.50,-2,,,Fail,,,,,,,,,,,,,0.0,27.4,1644,,,,080031F8 A51 A0 * 01000000,480137FE N100 X0,,,4,2,,,1200,ALT,,,,,,,,0,12,9,,0.1,0,13.2,13.1,12.9,1,-1,15.3,255,,,,,1,1,0,0,0,0,0,EFIS ON BKUP / NAV ON BKUP / FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
