#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N1234X",unit_software_part_number="006-B1727-40",software_version="9.51",system_id="6000ABCD01234",unit="PFD1",airframe_hours="0.3",engine_hours="1.2"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),AFCS Attitude Status,Network Status,Transponder Code,Transponder Mode,Engine Power (%),Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Coolant Temp (deg F),Man Temp (deg F),Flap Position,Fuel Qty L (gal),Fuel Qty R (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Volts,Efis Bkup Volts,Nav Bkup Volts,Amps,Batt Amps,Feed Psi,Co Ppm,EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EFIS ON BKUP (discrete),NAV ON BKUP (discrete),ARM BKUP (discrete),PITOT HEAT (discrete),FPCM FAULT (discrete),CHECK FUEL (discrete),EARTH X FAIL (discrete),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,,E1 %Pwr,E1 MAP,E1 RPM,E1 OilP,E1 OilT,,E1 CarbT,Flaps,FQty1,FQty2,E1 FFlow,E1 FPres,PTrim,Volts1,,,Amps1,Amps2,,,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,,,,,,,
2026-09-02,14:34:25,21:34:25,-07:00,+39.0815573,-114.1006301,43,3D- (SFD1),336865.5,0.9,,0,0,-0.38,,428,13978,4,170,308,-1,16.3,17,,,-0.010,0.998,-0.101,,211,,,,30.07,122.700,118.350 RX,GPS,REV,,,,,,,,,,,,,Fail / Servo communication fault / 00008001 00000000,,,,,,,,,,,,,-12.8,26.2,1502,,,,081131F8 A28 A0 * 01010000,0801B7FE N9 X0,,,3,4,,,1200,ALT,0,29.7,0,0,84,84,93,0,12,8,0.0,0.2,0,12.7,13.6,13.3,13,-13,15.3,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,14:34:26,21:34:26,-07:00,+39.0811880,-114.1003432,192,3D- (SFD1),336866.3,1.8,,-0,1,-0.55,,348,9990,4,170,308,-5,16.3,17,,,-0.009,1.003,-0.097,,211,,,,30.07,122.700,118.350 RX,GPS,REV,,,,,,,,,,,,,Fail,,,,,,,,,,,,,-12.8,26.2,1502,,,,081131F8 A31 A0 * 01010000,280137FE N13 X0,,,3,3,,,1200,ALT,0,29.7,0,0,84,84,93,0,12,8,0.0,0.2,0,12.7,13.7,13.4,12,-13,15.3,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,14:34:27,21:34:27,-07:00,+39.0813058,-114.1004176,154,3D (SFD1),336867.3,2.3,,-0,-0,0.17,,295,7390,4,171,308,-3,15.5,16,,,-0.008,1.001,-0.092,,211,,,,30.07,122.700,118.350 RX,GPS,REV,,,,,,,,,,,,,Fail,,,,,,,,,,,,,-12.8,26.2,1503,,,,081131F8 A34 A0 * 01010000,280137FE N17 X0,,,2,3,,,1200,ALT,0,29.7,0,0,84,84,93,0,12,8,0.0,0.2,0,12.7,13.7,13.4,13,-13,15.3,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,14:34:28,21:34:28,-07:00,+39.0812982,-114.1003981,157,3D (SFD1),336868.3,2.3,,0,-1,0.99,,260,5768,4,171,308,-1,16.1,16,,,-0.007,0.999,-0.092,,211,,,,30.07,122.700,118.350 RX,GPS,REV,,,,,,,,,,,,,Fail,,,,,,,,,,,,,-12.8,26.2,1504,,,,081131F8 A37 A0 * 01010000,280137FE N21 X0,,,3,2,,,1200,ALT,0,29.7,0,0,84,84,93,0,12,8,0.0,0.2,0,12.7,13.7,13.4,13,-13,15.3,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,14:34:29,21:34:29,-07:00,+39.0812198,-114.1003564,182,3D (SFD1),336869.3,1.2,,0,0,0.02,,235,4713,4,171,308,1,16.0,16,,,-0.008,0.998,-0.095,,211,,,,30.07,122.700,118.350 RX,GPS,REV,,,,,,,,,,,,,Fail,,,,,,,,,,,,,-12.8,26.2,1505,,,,081131F8 A40 A0 * 01010000,280137FE N25 X0,,,4,3,,,1200,ALT,0,29.7,0,0,84,84,93,0,12,8,0.0,0.2,0,12.7,13.8,13.4,11,-13,15.3,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,14:34:30,21:34:30,-07:00,+39.0811510,-114.1003464,210,3D (SFD1),336870.3,1.1,,-0,0,-0.43,,215,3975,4,170,308,-0,15.8,16,,,-0.007,0.998,-0.098,,211,,,,30.07,122.700,118.350 RX,GPS,REV,,,,,,,,,,,,,Fail,,,,,,,,,,,,,-12.8,26.2,1506,,,,081131F8 A43 A0 * 01000000,280137FE N29 X0,,,2,3,,,1200,ALT,0,29.7,0,0,84,84,93,0,12,8,0.0,0.2,0,12.7,13.8,13.4,11,-13,15.3,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,14:34:32,21:34:32,-07:00,+39.0810287,-114.1003592,254,3D,336889.5,1.3,,0,0,-0.06,,41,106,9,170,307,-8,15.7,16,,,-0.010,0.999,-0.103,,211,,,,30.07,122.700,118.350,GPS1,,,,,,,,,,,,,,Fail,,,,,,,,,,,,,-12.8,26.2,1507,,,,080031F8 A46 A0 * 01000000,280137FE N33 X0,,,2,3,,,1200,ALT,0,29.7,0,0,84,84,93,0,12,8,0.0,0.2,0,12.7,13.9,13.4,11,-13,15.3,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,14:34:33,21:34:33,-07:00,+39.0810256,-114.1003612,253,3D,336890.5,0.2,,0,0,-0.02,,33,90,9,170,307,-14,15.9,16,,,-0.007,0.999,-0.108,,211,,,,30.07,122.700,118.350,GPS1,VFR,,,,,,,,,,,,,Fail,,,,,,,,,,,,,0.0,26.2,1507,,,,080031F8 A49 A0 * 01000000,280137FE N36 X0,,,3,2,,,1200,ALT,0,29.7,0,0,84,84,93,0,12,8,0.0,0.2,0,12.7,13.9,13.4,13,-13,15.3,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,14:34:34,21:34:34,-07:00,+39.0810262,-114.1003598,253,3D,336891.5,0.0,,0,0,-0.00,,28,79,9,170,307,-9,16.6,17,,,-0.007,0.998,-0.106,,211,,,,30.07,122.700,118.350,GPS1,VFR,GARMN,10.0,135,150,-0.027,-0.01,30381,,,,,,Fail,,,,,,,,,,,,,0.0,26.2,1509,,,,080031F8 A52 A0 * 01000000,280137FE N41 X0,,,2,2,,,1200,ALT,0,29.7,0,0,84,84,93,0,12,8,0.0,0.2,0,12.7,14.0,13.4,12,-13,15.3,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
