#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N1234X",unit_software_part_number="006-B1727-40",software_version="9.51",system_id="6000ABCD01234",unit="PFD1",airframe_hours="0.3",engine_hours="1.2"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),AFCS Attitude Status,Network Status,Transponder Code,Transponder Mode,Engine Power (%),Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Coolant Temp (deg F),Man Temp (deg F),Flap Position,Fuel Qty L (gal),Fuel Qty R (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Volts,Efis Bkup Volts,Nav Bkup Volts,Amps,Batt Amps,Feed Psi,Co Ppm,EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EFIS ON BKUP (discrete),NAV ON BKUP (discrete),ARM BKUP (discrete),PITOT HEAT (discrete),FPCM FAULT (discrete),CHECK FUEL (discrete),EARTH X FAIL (discrete),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,,E1 %Pwr,E1 MAP,E1 RPM,E1 OilP,E1 OilT,,E1 CarbT,Flaps,FQty1,FQty2,E1 FFlow,E1 FPres,PTrim,Volts1,,,Amps1,Amps2,,,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,,,,,,,
2026-09-02,14:47:56,21:47:56,-07:00,+39.0809735,-114.1003992,290,3D-,337694.2,0.0,,0,0,0.01,,75,912,9,172,309,-10,15.3,16,,,-0.008,0.998,-0.128,,211,,,,30.07,,,GPS1,LOI MSG,,,,,,,,,,,,,Powerup,,,,,,,,,,,,,-12.8,27.7,1671,,,,081131F8 A19 A0 *,280137FE D99 X0,,,3,3,,,,,,,,,,,,0,12,8,,0.2,1,12.5,13.9,13.6,,-12,15.3,254,,,,,0,0,0,0,,,,,
2026-09-02,14:47:57,21:47:57,-07:00,+39.0809977,-114.1003158,230,3D (SFD1),337677.0,0.1,,-0,0,-0.16,,38,260,9,172,309,-10,15.6,16,,,-0.007,0.999,-0.132,,211,,,,30.07,,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-12.8,27.7,1671,,,,081131F8 A22 A0 * 01000000,280137FE N2 X0,,,3,3,,L+,,,,,,,,,,0,12,8,,0.2,1,12.5,13.9,13.7,11,-12,15.3,254,,,,,0,0,0,0,0,0,0,ENGINE ECU / NO AOA CAL,
2026-09-02,14:47:58,21:47:58,-07:00,+39.0810054,-114.1003167,233,3D (SFD1),337678.0,0.1,,-0,0,0.25,,35,227,9,172,309,-8,15.8,16,,,-0.007,0.998,-0.143,,211,,,,30.07,,,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-12.8,27.7,1671,,,,081131F8 A25 A0 * 01000000,280137FE N6 X0,,,3,4,,,,,,,,,,,,0,12,8,,0.2,1,12.6,14.0,13.7,12,-12,15.3,254,,,,,0,0,0,0,0,0,0,FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:47:59,21:47:59,-07:00,+39.0810091,-114.1003315,245,3D (SFD1),337679.1,0.1,,-0,0,0.18,,33,203,9,172,309,-4,15.9,16,,,-0.009,0.998,-0.157,,211,,,,30.07,122.700,118.350 RX,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-12.8,27.7,1672,,,,081131F8 A28 A0 * 01000000,280137FE N10 X0,,,3,3,,L+,1200,ALT,,,,,,,,0,12,8,,0.2,1,12.6,14.0,13.7,11,-12,15.3,254,,,,,0,0,0,0,0,0,0,FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:48:00,21:48:00,-07:00,+39.0810173,-114.1003456,240,3D (SFD1),337680.0,0.1,,-0,0,0.05,,32,187,9,172,309,-1,15.9,16,,,-0.010,0.998,-0.168,,211,,,,30.07,122.700,118.350 RX,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-12.8,27.7,1672,,,,081131F8 A31 A0 * 01000000,280137FE N13 X0,,,3,3,,,1200,ALT,,,,,,,,0,12,8,,0.2,1,12.6,14.0,13.7,10,-12,15.3,254,,,,,0,0,0,0,0,0,0,FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:48:01,21:48:01,-07:00,+39.0810331,-114.1003489,244,3D- (SFD1),337681.1,0.2,,-0,0,0.15,,31,176,9,171,309,-3,15.9,16,,,-0.009,0.999,-0.182,,211,,,,30.07,122.700,118.350 RX,GPS1,LOI,,,,,,,,ENR,,,,,Powerup,,,,,,,,,,,,,-12.8,27.7,1672,,,,081131F8 A34 A0 * 01000000,280137FE N18 X0,,,2,3,,,1200,ALT,,,,,,,,0,12,8,,0.2,1,12.6,14.0,13.8,10,-11,15.3,254,,,,,0,0,0,0,0,0,0,FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:48:02,21:48:02,-07:00,+39.0810227,-114.1003495,241,3D (SFD1),337682.0,0.2,,-0,0,0.27,,30,166,9,172,309,-3,16.1,17,,,-0.009,0.998,-0.189,,211,,,,30.07,122.700,118.350 RX,GPS1,LOI,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00008001 00000000,,,,,,,,,,,,,-12.8,27.7,1672,,,,081131F8 A37 A0 * 01000000,280137FE N21 X0,,,3,3,,,1200,ALT,,,,,,,,0,12,8,,0.2,1,12.6,14.0,13.8,10,-11,15.3,254,,,,,0,0,0,0,0,0,0,FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:48:03,21:48:03,-07:00,+39.0810226,-114.1003453,236,3D (SFD1),337683.1,0.3,,-0,0,0.39,,29,156,9,172,309,-2,15.9,16,,,-0.009,0.998,-0.187,,211,,,,30.07,122.700,118.350 RX,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,27.7,1672,,,,081131F8 A40 A0 * 01000000,280137FE N25 X0,,,3,3,,,1200,ALT,,,,,,,,0,12,8,,0.2,1,12.7,14.0,13.9,10,-10,15.3,254,,,,,0,0,0,0,0,0,0,FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
2026-09-02,14:48:04,21:48:04,-07:00,+39.0810248,-114.1003392,236,3D (SFD1),337684.1,0.3,,-0,0,0.08,,29,149,9,171,309,-2,15.9,16,,,-0.008,1.000,-0.179,,211,,,,30.07,122.700,118.350 RX,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,27.7,1673,,,,081131F8 A43 A0 * 01000000,280137FE N29 X0,,,3,3,,,1200,ALT,,,,,,,,0,12,8,,0.2,1,12.7,14.0,13.9,10,-10,15.3,254,,,,,0,0,0,0,0,0,0,FUEL PRESS / CO PPM / ENGINE ECU / NO AOA CAL,
