#airframe_info,log_version="1.00",log_content_version="1.02",product="GDU 460",aircraft_ident="N1234X",unit_software_part_number="006-B1727-40",software_version="9.51",system_id="6000ABCD01234",unit="PFD1",airframe_hours="0.3",engine_hours="1.2"
Date (yyyy-mm-dd),Time (hh:mm:ss),UTC Time (hh:mm:ss),UTC Offset (hh:mm),Latitude (deg),Longitude (deg),GPS Altitude (ft),GPS Fix Status,GPS Time of Week (sec),GPS Ground Speed (kt),GPS Ground Track (deg),GPS Velocity E (m/sec),GPS Velocity N (m/sec),GPS Velocity U (m/sec),Magnetic Heading (deg),GPS HFOM (ft),GPS VFOM (ft),GPS Sats,Pressure Altitude (ft),Baro Altitude (ft),Vertical Speed (ft/min),Indicated Airspeed (kt),True Airspeed (kt),Pitch (deg),Roll (deg),Lateral Acceleration (G),Normal Acceleration (G),AOA Cp,AOA,Selected Heading (deg),Selected Altitude (ft),Selected Vertical Speed (ft/min),Selected Airspeed (kt),Baro Setting (inch Hg),COM Frequency 1 (MHz),COM Frequency 2 (MHz),Active Nav Source,Nav Annunciation,Nav Identifier,Nav Distance (nm),Nav Bearing (deg),Nav Course (deg),Nav Cross Track Distance (nm),Horizontal CDI Deflection,Horizontal CDI Full Scale (ft),Horizontal CDI Scale,Vertical CDI Deflection,Vertical CDI Full Scale (ft),VNAV CDI Deflection,VNAV Altitude (ft),Autopilot State,FD Lateral Mode,FD Vertical Mode,FD Roll Command (deg),FD Pitch Command (deg),FD Altitude (ft),AP Roll Command (deg),AP Pitch Command (deg),AP VS Command (ft/min),AP Altitude Command (ft),AP Roll Torque (%),AP Pitch Torque (%),AP Pitch Trim Motor,Magnetic Variation (deg),Outside Air Temp (deg C),Density Altitude (ft),Height Above Ground (ft),Wind Speed (kt),Wind Direction (deg),AHRS/Mag 1 Status,SFD AHRS Status,Pitch Delta (deg),Roll Delta (deg),AHRS 1 Dev (%),SFD AHRS Dev (%),AFCS Attitude Status,Network Status,Transponder Code,Transponder Mode,Engine Power (%),Manifold Press (inch Hg),RPM,Oil Press (PSI),Oil Temp (deg F),Coolant Temp (deg F),Man Temp (deg F),Flap Position,Fuel Qty L (gal),Fuel Qty R (gal),Fuel Flow (gal/hour),Fuel Press (PSI),Elevator Trim,Volts,Efis Bkup Volts,Nav Bkup Volts,Amps,Batt Amps,Feed Psi,Co Ppm,EGT1 (deg F),EGT2 (deg F),EGT3 (deg F),EGT4 (deg F),EFIS ON BKUP (discrete),NAV ON BKUP (discrete),ARM BKUP (discrete),PITOT HEAT (discrete),FPCM FAULT (discrete),CHECK FUEL (discrete),EARTH X FAIL (discrete),CAS Alert,Terrain Alert
Lcl Date,Lcl Time,UTC Time,UTCOfst,Latitude,Longitude,AltGPS,GPSfix,,GndSpd,TRK,GPSVelE,GPSVelN,GPSVelU,HDG,HFOM,VFOM,,AltP,AltInd,VSpd,IAS,TAS,Pitch,Roll,LatAc,NormAc,,AOA,SelHDG,SelALT,SelVSpd,SelIAS,Baro,COM1,COM2,NavSrc,,NavIdent,NavDist,NavBrg,NavCRS,NavXTK,HCDI,,,VCDI,,VNAV CDI,VNAVAlt,,,,,,,,,,,,,,MagVar,OAT,AltD,AGL,WndSpd,WndDr,,,,,,,,,,,E1 %Pwr,E1 MAP,E1 RPM,E1 OilP,E1 OilT,,E1 CarbT,Flaps,FQty1,FQty2,E1 FFlow,E1 FPres,PTrim,Volts1,,,Amps1,Amps2,,,E1 EGT1,E1 EGT2,E1 EGT3,E1 EGT4,,,,,,,,,
2026-09-02,13:59:32,20:59:32,-07:00,+39.0813733,-114.1003687,121,3D- (SFD1),334772.1,2.8,,-0,-1,1.92,,756,117049,4,163,300,9,15.9,16,,,-0.001,0.998,-0.065,,211,,,,30.07,122.700,118.350 RX,GPS1,LOI,,,,,,,,ENR,,,,,Fail / Servo communication fault / 00008001 00000000,,,,,,,,,,,,,-12.8,25.0,1366,,,,081131F8 A89 A0 * 01010000,0801B7FE N90 X0,,,2,3,,,1200,ALT,0,27.5,0,0,68,76,78,0,12,10,0.0,0.4,1,13.4,13.9,14.0,5,-5,15.5,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,13:59:33,20:59:33,-07:00,+39.0814598,-114.1003765,70,3D- (SFD1),334773.1,3.9,,-0,2,-3.61,,617,78475,4,163,300,4,16.0,16,,,-0.002,0.999,-0.061,,211,,,,30.07,122.700,118.350 RX,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,25.0,1366,,,,081131F8 A92 A0 * 01000000,0801B7FE N94 X0,,,2,2,,,1200,ALT,0,28.7,0,0,75,80,82,0,12,10,0.0,0.4,1,13.4,13.9,14.0,5,-5,15.5,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,13:59:34,20:59:34,-07:00,+39.0814971,-114.1003580,55,3D- (SFD1),334774.1,5.0,,-0,2,-3.20,,535,59039,4,163,300,-0,16.0,16,,,-0.001,0.998,-0.061,,211,,,,30.07,122.700,118.350 RX,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,25.0,1366,,,,081131F8 A95 A0 * 01010000,0801B7FE N98 X0,,,3,3,,,1200,ALT,0,29.3,0,0,80,82,84,0,12,10,0.0,0.4,1,13.3,13.9,14.0,5,-5,15.5,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,13:59:35,20:59:35,-07:00,+39.0816141,-114.1003947,-19,3D- (SFD1),334775.1,2.9,,0,-1,0.07,,471,45779,4,163,300,-3,16.0,16,,,-0.001,0.999,-0.066,,211,,,,30.07,122.700,118.350 RX,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,25.0,1366,,,,081131F8 A98 A0 * 01010000,0801B7FE N100 X0,,,2,3,,,1200,ALT,0,29.6,0,0,82,83,85,0,12,10,0.0,0.4,1,13.3,13.9,14.0,5,-5,15.5,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,13:59:36,20:59:36,-07:00,+39.0816282,-114.1003985,-35,3D- (SFD1),334776.1,4.1,,-0,1,-1.81,,424,36748,4,163,300,-1,15.9,16,0.50,0.11,-0.001,0.998,-0.082,,211,,,,30.07,122.700,118.350 RX,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,25.0,1366,,,,081137FE D7 A0 * 01010000,0801B7FE N100 X0,0.1,0.0,3,3,,,1200,ALT,0,29.7,0,0,83,83,85,0,12,10,0.0,0.4,1,13.3,13.9,14.0,5,-5,15.5,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,13:59:37,20:59:37,-07:00,+39.0817199,-114.1004381,-68,3D- (SFD1),334777.1,2.6,,0,2,-2.46,,397,32280,4,163,300,1,15.9,16,0.48,0.11,-0.002,0.998,-0.103,,211,,,,30.07,122.700,118.350 RX,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,25.0,1366,,,,081137FE D19 A0 * 01010000,0801B7FE N100 X0,0.2,0.0,2,2,,,1200,ALT,0,29.7,0,0,83,84,86,0,12,10,0.0,0.4,1,13.3,13.9,14.0,5,-5,15.5,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,13:59:38,20:59:38,-07:00,+39.0817034,-114.1003925,-70,3D- (SFD1),334778.1,3.5,,-0,3,-5.21,,373,28495,4,163,300,1,15.9,16,0.49,0.10,-0.002,1.000,-0.123,,211,,,,30.07,122.700,118.350 RX,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,25.1,1367,,,,081137FE D31 A0 * 01010000,0801B7FE N100 X0,0.2,0.0,2,2,,,1200,ALT,0,29.7,0,0,84,84,86,0,12,10,0.0,0.4,1,13.3,13.9,14.0,5,-5,15.5,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,13:59:39,20:59:39,-07:00,+39.0818290,-114.1004092,-140,3D- (SFD1),334779.1,5.3,,1,-4,5.99,,351,25401,4,163,300,-0,16.0,16,0.49,0.10,-0.004,0.998,-0.145,,211,,,,30.07,122.700,118.350 RX,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,25.1,1367,,,,081137FE D43 A0 * 01010000,0801B7FE N100 X0,0.2,0.0,2,2,,,1200,ALT,0,29.7,0,0,84,84,86,0,12,10,0.0,0.4,1,13.3,13.9,14.0,5,-5,15.5,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
2026-09-02,13:59:40,20:59:40,-07:00,+39.0817602,-114.1003831,-96,3D- (SFD1),334780.1,4.3,,-0,1,-1.29,,333,22914,4,163,300,-1,15.9,16,0.48,0.11,-0.002,0.998,-0.161,,211,,,,30.07,122.700,118.350 RX,GPS1,LOI,,,,,,,,ENR,,,,,Fail,,,,,,,,,,,,,-12.8,25.1,1367,,,,081137FE D55 A0 * 01010000,0801B7FE N100 X0,0.2,0.0,2,3,,,1200,ALT,0,29.7,0,0,84,84,86,0,12,10,0.0,0.4,1,13.3,13.9,14.0,5,-5,15.5,254,110,110,110,110,0,0,0,0,0,0,0,OIL PRESS / FUEL PRESS / CO PPM / TRAFFIC FAIL / NO AOA CAL,
