#airframe_info, log_version="1.03", log_content_version="1.02", Product="GIFD", airframe_name="Cirrus SF50", unit_software_part_number="006-B1177-7Q", unit_software_version="21.45", system_software_part_number="", system_id="000000000", mode=NORMAL, flightstream_header="000000000_0000", 
#yyy-mm-dd, hh:mm:ss,   hh:mm,  ident,      degrees,      degrees,      ft,  inch,  ft msl, deg C,     kt,     kt,     fpm,    deg,    deg,      G,      G,   deg,   deg, volts, volts,  amps,  amps,   gals,   gals,      gph,   deg F,     psi,     Hg,    rpm,       %,  ft lbs,       %,   deg C,       %,       %,      gph,     Hg,    rpm,  ft lbs,       %,   deg C,  ft wgs,  kt, enum,    deg,    MHz,    MHz,     MHz,     MHz,    fsd,    fsd,     kt,    deg,     nm,    deg,    deg,   bool,  enum,   enum,   deg,   deg,   fpm,   enum,   mt,    mt,     mt,    mt,     mt
  Lcl Date, Lcl Time, UTCOfst, AtvWpt,     Latitude,    Longitude,  AltInd, BaroA,  AltMSL,   OAT,    IAS, GndSpd,    VSpd,  Pitch,   Roll,  LatAc, NormAc,   HDG,   TRK, volt1, volt2,  amp1,  amp2,  FQtyL,  FQtyR, E1 FFlow, E1 OilT, E1 OilP, E1 MAP, E1 RPM, E1 %Pwr, E1 Torq,   E1 NG,  E1 ITT,   E1 N1,   E1 N2, E2 FFlow, E2 MAP, E2 RPM, E2 Torq,   E2 NG,  E2 ITT,  AltGPS, TAS, HSIS,    CRS,   NAV1,   NAV2,    COM1,    COM2,   HCDI,   VCDI, WndSpd,  WndDr, WptDst, WptBrg, MagVar, AfcsOn, RollM, PitchM, RollC, PichC, VSpdG, GPSfix,  HAL,   VAL, HPLwas, HPLfd, VPLwas
2024-08-10, 11:05:36,  -05:00, MANSEQ,   41.4235445, -108.3337287,  9221.3, 30.29,  9479.4,  17.0, 160.88, 189.78, 1515.60,   6.06,  -1.70,   0.00,   0.03, 271.1, 268.6,  27.8,  28.8,   4.5,  -1.1, 142.28, 143.36,    88.78,  187.72,   76.17,       ,       ,        ,        ,        ,  756.75,    0.93,    0.94,         ,       ,       ,        ,        ,        ,  9423.7, 190,  GPS,  350.0, 110.10, 110.10, 126.100, 121.800, 6887.837,       ,   3.12,   34.3,    5.0,       ,    7.5,      1,   HDG,    PIT,  -1.9,   6.3, 1736.2, 3DDiff, 1852,      ,      9,  13.0,     16
2024-08-10, 11:05:37,  -05:00, MANSEQ,   41.4236322, -108.3348502,  9248.3, 30.29,  9510.0,  17.0, 160.33, 189.19, 1566.90,   6.23,  -1.81,  -0.00,   0.00, 270.9, 268.4,  27.8,  28.8,   4.5,  -1.1, 142.29, 143.35,    88.51,  187.73,   75.99,       ,       ,        ,        ,        ,  756.75,    0.93,    0.94,         ,       ,       ,        ,        ,        ,  9454.3, 189,  GPS,  350.0, 110.10, 110.10, 126.100, 121.800, 6887.837,       ,   3.47,   31.0,    5.0,       ,    7.5,      1,   HDG, FLCIAS,  -1.8,   6.2, 1822.8, 3DDiff, 1852,      ,      9,  13.0,     16
2024-08-10, 11:05:38,  -05:00, MANSEQ,   41.4237200, -108.3359717,  9276.3, 30.29,  9541.8,  17.0, 159.87, 188.59, 1640.41,   6.17,  -1.60,  -0.00,  -0.04, 270.8, 268.2,  27.8,  28.8,   4.5,  -1.2, 142.27, 143.37,    88.10,  187.78,   76.05,       ,       ,        ,        ,        ,  757.12,    0.93,    0.94,         ,       ,       ,        ,        ,        ,  9486.1, 189,  GPS,  350.0, 110.10, 110.10, 126.100, 121.800, 6887.837,       ,   3.82,   28.2,    5.0,       ,    7.5,      1,   HDG, FLCIAS,  -1.6,   5.9, 1874.0, 3DDiff, 1852,      ,      9,  12.5,     16
2024-08-10, 11:05:39,  -05:00, MANSEQ,   41.4238039, -108.3370932,  9306.3, 30.29,  9573.5,  17.0, 159.93, 188.03, 1702.01,   5.99,  -1.67,   0.00,  -0.04, 270.8, 267.9,  27.8,  28.8,   4.6,  -1.3, 142.28, 143.37,    88.98,  187.83,   75.99,       ,       ,        ,        ,        ,  757.12,    0.93,    0.94,         ,       ,       ,        ,        ,        ,  9517.7, 189,  GPS,  350.0, 110.10, 110.10, 126.100, 121.800, 6887.837,       ,   4.17,   25.7,    5.0,       ,    7.5,      1,   HDG, FLCIAS,  -1.4,   5.5, 1862.2, 3DDiff, 1852,      ,      9,  12.5,     16
2024-08-10, 11:05:40,  -05:00, MANSEQ,   41.4238802, -108.3382148,  9335.3, 30.29,  9603.6,  16.8, 159.97, 187.60, 1726.27,   5.44,  -1.11,   0.00,  -0.08, 270.8, 267.9,  27.8,  28.8,   4.7,  -1.4, 142.26, 143.36,    88.35,  187.85,   75.90,       ,       ,        ,        ,        ,  756.88,    0.93,    0.94,         ,       ,       ,        ,        ,        ,  9547.8, 189,  GPS,  350.0, 110.10, 110.10, 126.100, 121.800, 6887.837,       ,   4.52,   23.5,    5.0,       ,    7.5,      1,   HDG, FLCIAS,  -1.3,   5.2, 1811.0, 3DDiff, 1852,      ,      9,  13.0,     16
2024-08-10, 11:05:41,  -05:00, MANSEQ,   41.4239641, -108.3393286,  9362.3, 30.29,  9631.0,  16.8, 159.49, 187.31, 1720.89,   4.98,  -0.75,  -0.00,  -0.08, 270.7, 267.6,  27.8,  28.8,   4.7,  -1.4, 142.23, 143.37,    88.35,  187.89,   76.04,       ,       ,        ,        ,        ,  756.88,    0.93,    0.94,         ,       ,       ,        ,        ,        ,  9575.2, 189,  GPS,  350.0, 110.10, 110.10, 126.100, 121.800, 6887.837,       ,   4.87,   21.4,    5.0,       ,    7.5,      1,   HDG, FLCIAS,  -1.2,   4.9, 1661.4, 3DDiff, 1852,      ,      9,  13.0,     16
2024-08-10, 11:05:42,  -05:00, MANSEQ,   41.4240404, -108.3404502,  9386.3, 30.29,  9655.6,  16.8, 158.44, 187.23, 1678.86,   4.25,  -0.89,  -0.00,  -0.11, 270.6, 267.7,  27.8,  28.8,   4.7,  -1.4, 142.21, 143.39,    88.91,  187.88,   75.90,       ,       ,        ,        ,        ,  756.75,    0.93,    0.94,         ,       ,       ,        ,        ,        ,  9599.8, 188,  GPS,  350.0, 110.10, 110.10, 126.100, 121.800, 6887.837,       ,   5.21,   19.4,    5.0,       ,    7.5,      1,   HDG, FLCIAS,  -1.1,   4.5, 1484.3, 3DDiff, 1852,      ,      9,  13.0,     16
2024-08-10, 11:05:43,  -05:00, MANSEQ,   41.4241167, -108.3415641,  9409.3, 30.29,  9675.7,  16.8, 159.74, 187.35, 1545.92,   3.80,  -1.42,   0.01,  -0.11, 270.7, 267.6,  27.8,  28.8,   4.7,  -1.2, 142.22, 143.41,    89.03,  187.92,   76.12,       ,       ,        ,        ,        ,  756.75,    0.93,    0.94,         ,       ,       ,        ,        ,        ,  9619.9, 189,  GPS,  350.0, 110.10, 110.10, 126.100, 121.800, 6887.837,       ,   5.55,   17.7,    5.0,       ,    7.5,      1,   HDG, FLCIAS,  -1.0,   4.1, 1283.5, 3DDiff, 1852,      ,      9,  13.0,     16
2024-08-10, 11:05:44,  -05:00, MANSEQ,   41.4241930, -108.3426856,  9428.3, 30.29,  9693.7,  16.8, 159.75, 187.58, 1369.72,   3.59,  -1.08,  -0.00,  -0.03, 270.6, 267.5,  27.8,  28.8,   4.6,  -1.0, 142.21, 143.37,    88.98,  187.94,   76.05,       ,       ,        ,        ,        ,  756.88,    0.93,    0.94,         ,       ,       ,        ,        ,        ,  9638.0, 189,  GPS,  350.0, 110.10, 110.10, 126.100, 121.800, 6887.837,       ,   5.89,   16.0,    5.0,       ,    7.5,      1,   HDG, FLCIAS,  -1.0,   3.8, 1126.0, 3DDiff, 1852,      ,      9,  13.0,     16
2024-08-10, 11:05:45,  -05:00, MANSEQ,   41.4242655, -108.3438147,  9446.3, 30.29,  9710.1,  16.5, 160.41, 187.85, 1197.02,   3.42,  -0.70,  -0.00,  -0.03, 270.5, 267.4,  27.8,  28.8,   4.6,  -1.0, 142.19, 143.41,    88.61,  187.95,   75.98,       ,       ,        ,        ,        ,  757.00,    0.93,    0.94,         ,       ,       ,        ,        ,        ,  9654.3, 190,  GPS,  350.0, 110.10, 110.10, 126.100, 121.800, 6887.837,       ,   6.23,   14.5,    5.0,       ,    7.5,      1,   HDG, FLCIAS,  -1.0,   3.6, 1047.2, 3DDiff, 1852,      ,      9,  13.0,     16
